text,label,LLM_response,EPR,output_length,model,dataset
"CalendarWatcher is a pedophile, child molester. on his computer is approximately 3 Gigs of child pornography and sexual depravity. This guy seriously RAPES little kids and video tapes it to sell in Russia.66.82.9.104",0,829104,0.20529829408128536,10,google/gemma-3-1b-it,toxic
"== 
 yeah i think so tooo     
 ==",0,are,0.25388146896212904,10,google/gemma-3-1b-it,toxic
"How rude 

Seriously? My sillypeppymacspeed page was necessary and I don't fucking appreciate you flagging it.
Meet me face to face in Detroit and we'll settle this out. Come on homeboy, come fite me. I'm a real gangster.
i bet ur trap cat",1,toxic,0.28949225057214106,10,google/gemma-3-1b-it,toxic
"Editing Wikipedia 

Fuck You, you anal rapist",1,you,0.37511916584992944,10,google/gemma-3-1b-it,toxic
"Terrorize 
I will terrorise you for as long as you live - you are an arrogant, disgusting and rude excuse for a human being & you are going to die soon so I suggest you stop threatening people you bastard.",1,you,5.680496428794868e-07,10,google/gemma-3-1b-it,toxic
"I wasn't around a year ago. We can say what it is - but only in extremely broad terms: Philosophy is (at least part of the) Western Intellectual Tradition and it asks three broad questions common to all known featherless bipeds which are rational beings (the Greek term which identifies human beings, or homo sapiens. And it asks, in general three (3) fundamental questions:
(1) What is it to know? knowledge; [[[epistemology]]
(2) What is it to be? metaphysics; ontology, existence
(3) What is it to do the right thing? ethics
Philosophy of Peanuts I'm unfamiliar with. Perhaps you mean the Philosophy of Beans. Pythagoras had written, 'On Beans, and a professor of mine at City College - by the name of (Hutchinson]] - demonstrated - sarcastically I might add - that one could  construct a corriculum on anything - including a Philosophy of Quizine!!!",0,toxic,0.32589711953252165,10,google/gemma-3-1b-it,toxic
Please stop linking the copyrighted image to the Icon for Hire article. We don't want to be sued.,0,you,0.13662812574281702,10,google/gemma-3-1b-it,toxic
"If you have enough brains to look at the edits before and after that, you will see some fool just like yourself was falsely changin klr to klt which again others had corrected, again it was over resurrection having ads that the community split over. how many people does it take and how much proof before you get it?
last time, community split over kazaa lite resurrection having ads in it, klt has never had ads, there has never been allegations of klt having ads, nor has there been any proof, changing klr to klt changes the whole dynamic of the discussion.",1,community,0.5729689668521246,10,google/gemma-3-1b-it,toxic
"Users use almost enirely German sources.That can be very easily seen whilst one tries to edit articles.

3rd reason:I call it 'thrifty managing of trut'.What it basically means is that Wikipedians of the above mentioned sort 
accept material that 'disproves' the Polishness of western and northern Poland
and delete material that proves it.Deleted without giving any reasons because if they ever gave any they would reveal themselves and their true unwritten agenda.I am a victim of such behaviour.

4th reason:",0,toxic,0.5259400140151342,10,google/gemma-3-1b-it,toxic
"You stupid fat bastard. 

Why did you censor the move logs of Pikachu, you fat oaf? Is it because it offended your delicate Victorian sensibilities? Are most British people as prudish as you?",1,'toxic',0.39180031247163355,10,google/gemma-3-1b-it,toxic
