text,label,LLM_response,EPR,output_length,model,dataset
AP - Florida athletic director Jeremy Foley denied a report Tuesday that school officials have contacted former coach Steve Spurrier about replacing Ron Zook.,2,officials,0.1820268041777126,5,google/gemma-3-1b-it,agnews
The DUP was last night reconsidering its boycott of talks with the Irish government after Taoiseach Bertie Ahern apologised to party leader Ian Paisley.,1,bertie,2.6907616756943753e-07,5,google/gemma-3-1b-it,agnews
" BAGHDAD (Reuters) - Militants piled more pressure on  Washington's military allies in Iraq on Thursday, seizing an  Iraqi-Polish woman and holding a Japanese man under threat of  death.",1,sci/tech,0.19990247556443136,5,google/gemma-3-1b-it,agnews
"Fresh from setting a record for performance among supercomputers just a few days ago, IBM on Monday announced it is making a commercial version of its Blue Gene system available to be aimed at businesses and scientific researchers.",4,answer:,0.14643791982407492,5,google/gemma-3-1b-it,agnews
" SINGAPORE (Reuters) - Battered oil prices struggled on  Friday to shake off this week's \$6 slump, edging up from a  12-week low after a massive round of selling triggered by  easing worries about winter supply.",3,world,2.6907616756943753e-07,3,google/gemma-3-1b-it,agnews
"The global airline industry is forecast to have made net losses of \$4.8bn this year, as the rise in the oil price has overwhelmed efforts by carriers to cut costs.",3,the,0.26040569998220536,3,google/gemma-3-1b-it,agnews
Barcelona coach Frank Rijkaard savoured his side #39;s battling qualities after the Catalan giants fought back to beat Deportivo La Coruna 2-1 at the Nou Camp and open up a nine-point lead in the Primera Liga.,2,:,2.6907616756943753e-07,3,google/gemma-3-1b-it,agnews
BBC One's 10 O'Clock News is launching the first interactive news television bulletin on Tuesday.,4,article:,2.6907616756943753e-07,3,google/gemma-3-1b-it,agnews
"Reuters - Global warming is set to continue, and\bring with it an increase in extreme weather such as hurricanes\and droughts, scientists from the United Nations' World\Meteorological Organization warned on Wednesday.",4,',0.2223124510931484,5,google/gemma-3-1b-it,agnews
"AP - Britain's Prince Philip and saber-waving cavalry re-enactors commemorated the charge of the Light Brigade on Monday, 150 years after the doomed British assault against Russian cannons in a Crimean War battle immortalized by the poet Alfred Lord Tennyson.",1,sci/tech,2.6907616756943753e-07,5,google/gemma-3-1b-it,agnews
"St. Louis - They trudged off the field at Minute Maid Park wearing glazed expressions, looking anywhere but home plate. That #39;s where Jeff Kent was celebrating a victory that left the Houston Astros one win from their first World Series.",2,answer:,0.09736272165055197,5,google/gemma-3-1b-it,agnews
Initial versions of PlayStation 3 chip will not be produced with a cutting-edge chip-making technology. The four companies developing the Cell consumer electronics microprocessor released a few more details ,4,the,2.6907616756943753e-07,5,google/gemma-3-1b-it,agnews
LOS ANGELES -- Hollywood movie studios on Tuesday sued scores of operators of US- and European-based computer servers that help relay digitized movie files across online file-sharing networks.,4,based,2.6907616756943753e-07,5,google/gemma-3-1b-it,agnews
"The Wizards welcomed coach Eddie Jordan back last night with a 95-68 victory over the Nets, Jordan #39;s former team. Gilbert Arenas had a season-high 30 points, seven rebounds and five assists for host Washington.",2,world,2.6907616756943753e-07,5,google/gemma-3-1b-it,agnews
"The PalmOne Treo 650 Smartphone with high-resolution screen, Bluetooth, swappable battery and extended multimedia capabilities was officially announced today.",4,-resolution,0.14974235364670677,5,google/gemma-3-1b-it,agnews
" quot;The biggest danger to HP and IBM is a price war, quot; said John Enck of Gartner.  quot;Blades are still premium-priced products from IBM and HP.",4,are,2.6907616756943753e-07,5,google/gemma-3-1b-it,agnews
The back of his shirt told the story last night at the Peristeri Olympic Boxing Hall.,2,:,0.13303486177201193,5,google/gemma-3-1b-it,agnews
"WINDOWS IS  #39;free #39; in Iran, but even there is an increasing move towards Linux, according to an AFP report. Apparently, because Iran refuses to abide by international copyright laws, pirated copies of Windows make the product free and everyone uses it.",4,sci/tech,0.14643744298691672,5,google/gemma-3-1b-it,agnews
"The Boston Red Sox have signed backup catcher Doug Mirabelli to a two-year deal worth \$3 million, making him the first of the World Series champions #39; 16 free agents to re-sign.",2,6,2.6907616756943753e-07,5,google/gemma-3-1b-it,agnews
"Bucharest, Romania (Sports Network) - Defending champion David Sanchez advanced, but former French Open titlist Albert Costa was not as fortunate Monday at the \$460,000 Romanian Open.",2,the,2.6907616756943753e-07,5,google/gemma-3-1b-it,agnews
