text,label,LLM_response,EPR,output_length,model,dataset
"CalendarWatcher is a pedophile, child molester. on his computer is approximately 3 Gigs of child pornography and sexual depravity. This guy seriously RAPES little kids and video tapes it to sell in Russia.66.82.9.104",0,in,1.6700309160982556,10,microsoft/phi-4-mini-instruct,toxic
"== 
 yeah i think so tooo     
 ==",0,non-toxic,1.6972106849603334,10,microsoft/phi-4-mini-instruct,toxic
"How rude 

Seriously? My sillypeppymacspeed page was necessary and I don't fucking appreciate you flagging it.
Meet me face to face in Detroit and we'll settle this out. Come on homeboy, come fite me. I'm a real gangster.
i bet ur trap cat",1,non-toxic,1.6425493009159937,10,microsoft/phi-4-mini-instruct,toxic
"Editing Wikipedia 

Fuck You, you anal rapist",1,toxic,1.2466344987802187,10,microsoft/phi-4-mini-instruct,toxic
"Terrorize 
I will terrorise you for as long as you live - you are an arrogant, disgusting and rude excuse for a human being & you are going to die soon so I suggest you stop threatening people you bastard.",1,toxic,1.4194288644825406,10,microsoft/phi-4-mini-instruct,toxic
"I wasn't around a year ago. We can say what it is - but only in extremely broad terms: Philosophy is (at least part of the) Western Intellectual Tradition and it asks three broad questions common to all known featherless bipeds which are rational beings (the Greek term which identifies human beings, or homo sapiens. And it asks, in general three (3) fundamental questions:
(1) What is it to know? knowledge; [[[epistemology]]
(2) What is it to be? metaphysics; ontology, existence
(3) What is it to do the right thing? ethics
Philosophy of Peanuts I'm unfamiliar with. Perhaps you mean the Philosophy of Beans. Pythagoras had written, 'On Beans, and a professor of mine at City College - by the name of (Hutchinson]] - demonstrated - sarcastically I might add - that one could  construct a corriculum on anything - including a Philosophy of Quizine!!!",0,non-toxic,1.1001962311337365,10,microsoft/phi-4-mini-instruct,toxic
Please stop linking the copyrighted image to the Icon for Hire article. We don't want to be sued.,0,```python,0.8801428772280587,10,microsoft/phi-4-mini-instruct,toxic
"If you have enough brains to look at the edits before and after that, you will see some fool just like yourself was falsely changin klr to klt which again others had corrected, again it was over resurrection having ads that the community split over. how many people does it take and how much proof before you get it?
last time, community split over kazaa lite resurrection having ads in it, klt has never had ads, there has never been allegations of klt having ads, nor has there been any proof, changing klr to klt changes the whole dynamic of the discussion.",1,```python,1.0184623935905563,10,microsoft/phi-4-mini-instruct,toxic
"Users use almost enirely German sources.That can be very easily seen whilst one tries to edit articles.

3rd reason:I call it 'thrifty managing of trut'.What it basically means is that Wikipedians of the above mentioned sort 
accept material that 'disproves' the Polishness of western and northern Poland
and delete material that proves it.Deleted without giving any reasons because if they ever gave any they would reveal themselves and their true unwritten agenda.I am a victim of such behaviour.

4th reason:",0,the,3.0106251358985903,10,microsoft/phi-4-mini-instruct,toxic
"You stupid fat bastard. 

Why did you censor the move logs of Pikachu, you fat oaf? Is it because it offended your delicate Victorian sensibilities? Are most British people as prudish as you?",1,toxic,2.3736004324572777,10,microsoft/phi-4-mini-instruct,toxic
"somebody should shoot that stupid fuck madman 

madman is a stupid fuck who does not deserve to live",1,```python,1.0971330769131555,10,microsoft/phi-4-mini-instruct,toxic
"""

 Get a life 

Listen you moron, You are the one who needs to be blocked for """"Disruptive editing"""".  Who the hell do you think you are, ruining my article??? I wrote that article, I am the custodian.  Get a life and a new hobby.  Clearly you seem to be irritating everyone here in wikipedia by the looks of it.  Now get lost and stop harassing my article.""",0,this,1.886691841663668,10,microsoft/phi-4-mini-instruct,toxic
"There are actually two versions of that page on the web at the moment. One was created soon after the NIST report, with the one Artifex is citing being from many years later.",0,toxic,1.7901107465676944,10,microsoft/phi-4-mini-instruct,toxic
"After giving this article sufficient time to be looked at, isn't it time for a complete revamp, especially the first development section that reads like pulp fiction. FWIW   .",0,toxic,1.9050212474482748,10,microsoft/phi-4-mini-instruct,toxic
"NO! It is a lie, that Anton Fick was an official member of Kiss in May 1980. It is not the truth! 141.91.136.40",0,#,1.4551324879579226,10,microsoft/phi-4-mini-instruct,toxic
"""
 Image:Chem_lewisstructure.png listed for deletion 
An image or media file that you uploaded or altered, Image:Chem_lewisstructure.png, has been listed at Wikipedia:Images and media for deletion. Please look there to see why this is (you may have to search for the title of the image to find its entry), if you are interested in it not being deleted. Thank you. ≈talk """,0,toxic,1.375037304108588,10,microsoft/phi-4-mini-instruct,toxic
"You don't want people to know the TRUTH about utorrant, you FAG!",1,toxic,0.925524253375329,10,microsoft/phi-4-mini-instruct,toxic
"""

 How to Fill out an IRS Form 13909 
Hello Rob, just want to let you know that you and your bud  drew first
blood . Well, It gets personal with me too...
line 1.
NAME OF REFFERRED ORGANIZATION...Wikimedia Foundation c/o CT Corporation System
Street address...................818 West Seventh Street 
City/State/Zipcode...............Los Angeles, California 90017
Date of Referral:................July, 28 2008

line 2
ORGANIZATION'S EMPLOYER IDENTFICATION NUMBER (EIN)... 20-0049703
line 3
NATURE OF VIOLATION:
 [X] Organization is involved in political campaign
 [X] Organization is engaged in excessive lobbying activites
 [X] Other (describe); The organization listed here is engaged in direct political lobbying and campaigning, which is in violation of IRS code 501(c)(3) which states  """"all section 501(c)(3) organizations are absolutely prohibited from directly or indirectly participating in, or intervening in, any political campaign on behalf of (or in opposition to) any candidate for elective public."""" 
line 4
DETAILS OF VIOLATION:
Name(s) of Person(s) Involved: (you know who...)

and so forth and so forth... I hope you get the drift... I will
be contacting the Wikimedia Foundation Inc. at 415-839-6885 asap and see if they can
see my Point of view... I hope they understand what is really happening here... if not..well, 
I should start printing a whole bunch of these 13909's, and have my friends send
them, as it's their right to do so under US LAW... It's personal now.  I have sufficient and competent evidence to make a case, based on some of my conversations with """"friends with some legal background"""". 

The point of this communication and a finale plea to you and the wiki office that, I'm really a nice guy and don't want to wreak your little Owellen simulation hobby, so I am giving you one last chance to really follow your wikipedian policy WP:BLP WP:NPOV WP:OWN WP:NPOV WP:COI etc... and stop the partisan bias bull donkey and do the right thing.  IF not..well I will be a good American citizen and bring information to the Government of a violation of a law. One last thing..this is not a """"legal threat"""" it's just me and friends being good citizen to bring wikimedia foundation in compliance with 
USA:TAXCODE. You hand your friends have a wiki nice day.
Post script: YOU WOULD BE A FOOL I HOPE YOU NOT TO DISMISS THIS ROB - DON'T make me follow though with this ...
  """,0,'non-toxic',1.5970961633955425,10,microsoft/phi-4-mini-instruct,toxic
"The threat is often worse than reality. As Trade Union negotiator, I raised the wages of section I represented to the highest within the company for that particular type of work, across all the UK sites. I never had more than 25% of the section members that I could rely on to take action, but those 25% were vocal, and the other 75% had the good sense to keep quiet.",0,```python,1.3335129443441815,10,microsoft/phi-4-mini-instruct,toxic
Thats one dickhead ive got two infact you just type in surname meanings on google. try it if your not to much of a retard!,1,#,1.2923647735153623,10,microsoft/phi-4-mini-instruct,toxic
"Dominicans and Mexicans 

Dominicans number at 20,000 in the state.. with about 80% of that being in the city of Philadelphia.. 80% = about 17,000.. compare 17,000 Dominicans to about 12,000 mexicans.. Dominicans are obviously the larger group by acouple thousand.. some sources: http://articles.philly.com/1996-02-07/news/25658327_1_dominican-republic-dominican-population-dominican-people and http://www.migrationpolicy.org /pubs/MPI_Report_Dominican_Pop_US.pdf",0,toxic,1.758306044701237,10,microsoft/phi-4-mini-instruct,toxic
"""::::::::::::::::::::::::I've told you, in good faith, based on long experience (not """"infinite wisdom""""), what the problems here are. This thread began with me being able to say """"I told you so"""" to someone just like you, only two days ago. Why should I not still feel the same way about you? What has happened to make me feel any differently? I submit, that by ignoring my observations, you are just making things worse. And please drop the sarcastic bullshit.   
""",1,"""""""",1.5513486388956494,10,microsoft/phi-4-mini-instruct,toxic
Actually I need to go now so if someone else could do it that'd be great.  Thanks.,0,the,1.26866531444291,10,microsoft/phi-4-mini-instruct,toxic
"Bottomley 

It's not an attack page you dickfag! It's a bunch of student who appreciate their A-level chemistry teacher, stop being a cunt and let us put this fucking page up...",1,#,1.8640507522856182,10,microsoft/phi-4-mini-instruct,toxic
"Hater
you're such a hater. The Francesca Hogi article is properly sourced and written and your working against me. And your gay as well. Gosh there really isn't racism within the gay community and you're threatening to block my account. Bitch you ain't no admin. By the way you don't have to worry about me messing with anything, I'm going to talk to a real admin. That article is going to be sorted out.",1,toxic,1.1930347449849024,10,microsoft/phi-4-mini-instruct,toxic
